"PIN","sex","group","age","fname","stroop"
1,"female","pre",49,13,39
2,"female","pre",50,11,33
3,"female","pre",50,15,34
4,"female","pre",52,12,39
5,"female","pre",53,12,40
6,"female","pre",50,11,40
7,"female","pre",50,11,46
8,"female","pre",51,12,51
9,"female","pre",50,14,39
10,"female","pre",49,11,31
11,"female","pre",49,14,35
12,"female","pre",50,13,45
13,"female","pre",49,14,43
14,"female","pre",50,11,43
15,"female","pre",53,12,49
16,"female","pre",53,11,48
17,"female","pre",48,13,40
18,"female","pre",49,13,40
19,"female","pre",51,15,29
20,"female","pre",50,10,34
21,"female","pre",50,10,41
22,"female","pre",50,12,40
23,"female","pre",49,12,45
24,"female","pre",48,10,54
25,"female","pre",48,10,39
26,"female","pre",51,13,47
27,"female","pre",49,11,34
28,"female","pre",47,12,44
29,"female","pre",52,12,48
30,"female","pre",51,12,38
31,"female","pre",51,13,35
32,"female","pre",53,13,44
33,"female","pre",50,11,38
34,"female","pre",49,11,38
35,"female","pre",50,13,44
36,"female","pre",48,11,45
37,"female","pre",48,11,27
38,"female","pre",51,14,42
39,"female","pre",49,12,50
40,"female","pre",49,13,46
41,"female","pre",50,13,44
42,"female","pre",52,14,34
43,"female","pre",53,10,39
44,"female","pre",50,11,46
45,"female","pre",49,12,42
46,"female","pre",49,13,42
47,"female","pre",51,11,39
48,"female","pre",51,13,39
49,"female","pre",51,16,50
50,"female","pre",52,14,48
51,"female","peri",50,10,35
52,"female","peri",49,12,34
53,"female","peri",50,9,30
54,"female","peri",51,12,29
55,"female","peri",51,12,31
56,"female","peri",48,10,30
57,"female","peri",48,7,27
58,"female","peri",52,9,24
59,"female","peri",54,9,27
60,"female","peri",47,11,28
61,"female","peri",50,9,36
62,"female","peri",47,12,29
63,"female","peri",46,9,22
64,"female","peri",45,12,32
65,"female","peri",50,10,22
66,"female","peri",52,10,27
67,"female","peri",53,13,35
68,"female","peri",51,9,36
69,"female","peri",51,12,20
70,"female","peri",49,9,31
71,"female","peri",50,8,35
72,"female","peri",51,10,24
73,"female","peri",52,10,30
74,"female","peri",46,10,33
75,"female","peri",51,13,31
76,"female","peri",50,12,27
77,"female","peri",51,9,36
78,"female","peri",49,10,31
79,"female","peri",51,11,26
80,"female","peri",55,10,33
81,"female","peri",48,8,37
82,"female","peri",52,12,30
83,"female","peri",50,7,38
84,"female","peri",50,11,32
85,"female","peri",46,9,31
86,"female","peri",50,11,26
87,"female","peri",49,10,31
88,"female","peri",49,11,26
89,"female","peri",52,8,27
90,"female","peri",54,8,35
91,"female","peri",49,11,21
92,"female","peri",54,12,25
93,"female","peri",54,11,25
94,"female","peri",52,7,37
95,"female","peri",47,12,28
96,"female","peri",49,10,28
97,"female","peri",54,12,29
98,"female","peri",51,11,22
99,"female","peri",51,12,27
100,"female","peri",49,11,39
101,"female","post",49,8,27
102,"female","post",51,8,13
103,"female","post",49,8,18
104,"female","post",49,9,22
105,"female","post",51,8,32
106,"female","post",49,8,21
107,"female","post",52,9,22
108,"female","post",52,7,25
109,"female","post",47,7,23
110,"female","post",51,6,26
111,"female","post",48,8,22
112,"female","post",49,8,12
113,"female","post",50,10,22
114,"female","post",50,11,14
115,"female","post",52,6,26
116,"female","post",48,8,30
117,"female","post",51,8,16
118,"female","post",47,7,15
119,"female","post",51,10,19
120,"female","post",50,6,24
121,"female","post",53,7,17
122,"female","post",49,7,19
123,"female","post",48,10,15
124,"female","post",48,9,17
125,"female","post",49,8,22
126,"female","post",50,9,24
127,"female","post",50,7,20
128,"female","post",53,6,21
129,"female","post",52,6,18
130,"female","post",48,9,15
131,"female","post",52,8,22
132,"female","post",50,8,24
133,"female","post",50,12,19
134,"female","post",51,8,27
135,"female","post",47,8,23
136,"female","post",47,9,18
137,"female","post",52,7,16
138,"female","post",52,7,28
139,"female","post",51,5,22
140,"female","post",49,6,19
141,"female","post",51,7,15
142,"female","post",50,9,19
143,"female","post",49,5,23
144,"female","post",49,11,13
145,"female","post",51,8,17
146,"female","post",49,5,16
147,"female","post",49,8,22
148,"female","post",51,10,28
149,"female","post",48,7,21
150,"female","post",50,7,16
151,"male","males",47,10,28
152,"male","males",52,12,31
153,"male","males",49,7,34
154,"male","males",51,10,26
155,"male","males",50,8,24
156,"male","males",54,9,26
157,"male","males",52,9,22
158,"male","males",51,8,20
159,"male","males",47,11,28
160,"male","males",49,10,23
161,"male","males",54,9,15
162,"male","males",52,10,36
163,"male","males",51,8,30
164,"male","males",49,11,20
165,"male","males",52,10,28
166,"male","males",52,8,25
167,"male","males",50,11,17
168,"male","males",51,8,20
169,"male","males",52,7,30
170,"male","males",51,10,32
171,"male","males",49,10,26
172,"male","males",53,8,24
173,"male","males",50,8,29
174,"male","males",47,10,26
175,"male","males",46,7,22
176,"male","males",49,8,29
177,"male","males",48,12,25
178,"male","males",53,10,17
179,"male","males",50,10,28
180,"male","males",52,10,30
181,"male","males",54,9,28
182,"male","males",50,9,23
183,"male","males",50,10,24
184,"male","males",51,8,26
185,"male","males",51,10,25
186,"male","males",50,9,29
187,"male","males",48,8,21
188,"male","males",52,10,29
189,"male","males",49,10,29
190,"male","males",46,8,28
191,"male","males",52,10,37
192,"male","males",51,12,33
193,"male","males",55,9,26
194,"male","males",45,7,18
195,"male","males",50,8,24
196,"male","males",49,10,37
197,"male","males",46,8,28
198,"male","males",48,9,32
199,"male","males",48,7,19
200,"male","males",49,10,28
