"PIN","sex","poliParty","age","repubTrust","repubFriendly","repubAgg","demTrust","demFriendly","demAgg"
1,"female","dem",25,2,2,6,4,7,2
2,"female","repub",41,6,7,3,2,2,5
3,"female","dem",53,3,2,6,4,6,2
4,"female","repub",70,5,7,3,3,3,5
5,"female","dem",15,2,2,5,5,7,3
6,"female","repub",43,5,7,2,2,3,5
7,"female","dem",48,3,3,4,5,7,3
8,"female","repub",69,5,7,3,3,3,5
9,"female","dem",23,2,2,5,4,7,3
10,"female","repub",41,5,6,1,2,2,5
11,"female","dem",46,2,4,5,5,7,3
12,"female","repub",58,5,7,3,2,3,5
13,"female","dem",30,2,1,5,6,7,2
14,"female","repub",37,6,7,2,2,2,5
15,"female","dem",45,2,3,5,5,7,2
16,"female","repub",64,5,7,3,2,2,5
17,"female","dem",11,2,2,5,6,7,2
18,"female","repub",36,4,7,3,2,2,5
19,"female","dem",47,3,2,5,5,7,2
20,"female","repub",57,4,7,3,3,3,5
21,"female","dem",21,2,2,5,4,6,2
22,"female","repub",35,4,7,3,2,3,5
23,"female","dem",57,2,2,5,5,7,2
24,"female","repub",60,5,7,3,3,2,6
25,"female","dem",29,2,2,6,5,7,2
26,"female","repub",30,5,7,2,2,2,5
27,"female","dem",49,2,3,5,5,7,3
28,"female","repub",50,6,7,3,3,3,5
29,"female","dem",17,3,2,6,5,7,3
30,"female","repub",42,4,7,2,4,2,5
31,"female","dem",58,3,3,5,5,7,3
32,"female","repub",65,5,7,3,3,3,6
33,"female","dem",19,3,2,6,5,7,2
34,"female","repub",35,5,7,3,2,3,5
35,"female","dem",42,1,2,5,5,7,3
36,"female","repub",63,5,7,3,2,2,5
37,"female","dem",16,2,2,5,5,7,2
38,"female","repub",42,5,7,3,2,3,6
39,"female","dem",54,3,3,5,5,7,3
40,"female","repub",57,6,7,3,3,3,6
41,"female","dem",22,1,1,5,4,7,2
42,"female","repub",33,5,7,2,3,3,5
43,"female","dem",46,2,3,5,5,7,3
44,"female","repub",73,5,7,2,2,3,5
45,"female","dem",26,2,2,4,6,7,2
46,"female","repub",34,5,7,2,3,3,5
47,"female","dem",52,3,3,4,5,7,2
48,"female","repub",62,5,7,2,2,2,6
49,"female","dem",19,2,2,5,5,7,2
50,"female","repub",44,6,6,3,3,3,6
51,"female","dem",50,3,2,5,5,7,3
52,"female","repub",66,4,7,3,2,3,5
53,"female","dem",24,2,3,5,5,7,2
54,"female","repub",36,5,7,2,3,2,5
55,"female","dem",49,3,2,5,4,7,2
56,"female","repub",59,5,7,1,3,3,5
57,"female","dem",17,3,2,5,5,6,2
58,"female","repub",42,5,7,2,2,3,5
59,"female","dem",51,2,2,6,5,7,3
60,"female","repub",66,5,7,3,2,3,5
61,"female","dem",19,2,2,5,5,6,2
62,"female","repub",36,4,7,3,2,2,5
63,"female","dem",56,3,3,5,5,7,3
64,"female","repub",64,5,7,3,3,3,4
65,"female","dem",10,2,3,5,5,6,2
66,"female","repub",37,5,7,2,2,2,4
67,"female","dem",54,2,4,6,4,7,2
68,"female","repub",66,5,7,2,2,3,5
69,"female","dem",16,2,2,4,5,7,2
70,"female","repub",37,5,7,1,2,3,4
71,"female","dem",52,2,3,4,5,7,2
72,"female","repub",66,5,7,3,3,4,5
73,"female","dem",25,2,3,5,5,7,2
74,"female","repub",43,6,6,2,3,2,5
75,"female","dem",47,2,2,4,4,7,3
76,"female","repub",66,5,7,2,2,2,5
77,"female","dem",23,2,2,5,5,7,2
78,"female","repub",32,5,7,1,1,2,6
79,"female","dem",50,3,3,5,5,7,3
80,"female","repub",58,6,6,3,3,2,5
81,"female","dem",22,2,2,5,5,6,2
82,"female","repub",34,5,7,3,2,2,5
83,"female","dem",49,2,3,5,5,7,2
84,"female","repub",58,5,7,2,3,3,6
85,"female","dem",25,3,1,5,5,6,2
86,"female","repub",43,5,7,2,3,2,5
87,"female","dem",48,2,3,6,5,7,2
88,"female","repub",61,6,7,3,3,2,5
89,"female","dem",11,2,2,5,5,6,3
90,"female","repub",36,4,7,2,2,3,5
91,"female","dem",52,2,2,4,5,7,2
92,"female","repub",62,5,7,3,3,1,5
93,"female","dem",19,2,2,5,5,7,2
94,"female","repub",27,4,6,2,3,3,5
95,"female","dem",48,2,3,5,5,7,2
96,"female","repub",69,5,7,3,3,2,5
97,"female","dem",22,2,2,5,5,7,3
98,"female","repub",40,4,7,3,2,2,5
99,"female","dem",48,2,2,5,5,6,3
100,"female","repub",65,5,7,3,2,3,4
101,"male","dem",20,2,1,5,5,7,2
102,"male","repub",33,5,7,2,2,2,4
103,"male","dem",52,1,2,5,6,7,1
104,"male","repub",66,5,7,3,2,1,5
105,"male","dem",21,2,1,5,5,7,2
106,"male","repub",39,5,7,1,2,1,5
107,"male","dem",39,2,1,5,5,7,1
108,"male","repub",64,6,7,2,2,2,5
109,"male","dem",24,2,2,6,5,6,1
110,"male","repub",38,4,7,1,2,1,5
111,"male","dem",56,2,1,6,5,7,2
112,"male","repub",64,5,7,2,2,1,5
113,"male","dem",27,1,1,5,5,7,1
114,"male","repub",27,6,7,1,2,2,4
115,"male","dem",47,2,2,5,5,6,1
116,"male","repub",64,5,7,2,2,2,4
