"PIN","sex","age","condition","shock","tipi1","tipi2","tipi3","tipi4","tipi5","tipi6","tipi7","tipi8","tipi9","tipi10","preShare","postShare","guilt"
1,"female",19,"self_good","high",3,5,5,2,4,5,5,2,5,4,5,8,6
2,"female",18,"self_good","high",5,4,4,5,5,5,4,6,6,4,6,10,6
3,"female",20,"self_good","high",1,4,4,4,4,3,3,6,3,6,4,8,5
4,"female",19,"self_good","high",5,4,3,5,4,2,5,3,3,5,3,7,7
5,"female",21,"self_good","high",4,4,5,5,3,4,3,4,2,5,7,10,6
6,"female",21,"self_good","high",4,6,3,2,3,3,3,3,6,4,5,9,5
7,"female",20,"self_good","high",4,4,4,4,4,4,3,2,4,3,6,10,6
8,"female",21,"self_good","high",4,2,4,4,1,5,7,3,6,5,4,8,6
9,"female",22,"self_good","high",2,1,4,5,4,4,3,5,5,4,4,8,7
10,"female",21,"self_good","high",3,5,3,4,3,3,4,4,4,3,3,8,7
11,"female",22,"self_good","high",4,5,2,3,5,4,4,5,4,2,5,9,5
12,"female",20,"self_good","high",3,2,3,7,3,4,3,3,3,3,4,9,6
13,"female",18,"self_good","high",4,3,3,5,5,3,5,4,5,2,3,7,6
14,"female",19,"self_good","high",5,4,6,5,2,4,2,2,2,5,3,7,5
15,"female",20,"self_good","high",4,5,4,2,3,2,2,5,5,2,5,8,7
16,"female",20,"self_good","high",4,5,3,5,5,4,3,4,2,1,5,9,6
17,"female",21,"self_good","high",3,3,5,6,3,3,5,3,4,6,3,7,7
18,"female",21,"self_good","high",5,4,5,4,6,3,5,3,4,4,4,8,6
19,"female",21,"self_good","high",4,4,3,3,5,4,3,4,2,3,2,5,6
20,"female",21,"self_good","high",6,3,2,3,3,3,5,4,5,5,6,10,7
21,"female",21,"self_good","high",3,3,6,3,4,4,3,2,3,3,5,10,6
22,"female",20,"self_good","high",5,5,5,4,2,2,5,4,4,6,4,8,6
23,"female",22,"self_good","high",4,5,4,4,5,4,5,4,6,4,4,7,5
24,"female",20,"self_good","high",3,6,5,6,4,3,2,4,3,3,3,6,5
25,"female",21,"self_good","high",1,4,4,4,4,4,2,5,5,3,3,8,5
26,"female",20,"self_good","high",6,2,5,3,4,3,5,2,5,3,3,8,6
