"PIN","age","pickyVeg","pickyFruit","shareAmount","shareType","dollChoice"
"1",10,5,4,"1","cookie","Sharer"
"2",10,6,2,"1","cookie","Sharer"
"3",12,6,6,"1","cookie","Sharer"
"4",8,6,7,"1","cookie","Sharer"
"5",7,7,1,"1","cookie","Recipient"
"6",4,7,3,"1","cookie","Recipient"
"7",3,5,7,"1","cookie","Recipient"
"8",9,2,1,"1","cookie","Sharer"
"9",5,1,3,"1","cookie","Sharer"
"10",5,6,6,"1","cookie","Recipient"
"11",11,6,5,"1","cookie","Recipient"
"12",8,3,4,"1","cookie","Recipient"
"13",9,2,3,"1","cookie","Sharer"
"14",12,2,4,"1","cookie","Sharer"
"15",11,5,2,"1","cookie","Recipient"
"16",8,6,1,"1","cookie","Sharer"
"17",11,7,3,"1","cookie","Recipient"
"18",10,2,1,"1","cookie","Sharer"
"19",6,5,3,"1","cookie","Sharer"
"20",6,5,7,"1","cookie","Recipient"
"21",10,1,2,"1","cookie","Sharer"
"22",9,2,1,"1","cookie","Recipient"
"23",5,5,7,"1","cookie","Recipient"
"24",8,5,6,"1","cookie","Sharer"
"25",6,5,1,"1","cookie","Sharer"
"26",7,3,2,"1","cookie","Sharer"
"27",9,7,4,"1","cookie","Sharer"
"28",8,5,1,"1","cookie","Sharer"
"29",6,5,1,"1","cookie","Recipient"
"30",8,6,7,"1","cookie","Recipient"
"31",9,1,2,"1","cookie","Sharer"
"32",6,6,1,"1","cookie","Sharer"
"33",7,2,2,"1","cookie","Sharer"
"34",11,6,6,"1","cookie","Sharer"
"35",12,5,1,"1","cookie","Sharer"
"36",7,2,3,"1","cookie","Sharer"
"37",7,1,1,"1","cookie","Recipient"
"38",7,7,1,"1","cookie","Recipient"
"39",4,6,7,"1","cookie","Recipient"
"40",9,3,1,"1","cookie","Sharer"
"41",7,6,5,"1","cookie","Sharer"
"42",10,2,1,"1","cookie","Recipient"
"43",10,5,2,"1","cookie","Recipient"
"44",9,5,2,"1","cookie","Recipient"
"45",4,1,1,"1","cookie","Recipient"
"46",6,7,5,"1","cookie","Sharer"
"47",5,6,2,"1","cookie","Sharer"
"48",4,6,4,"1","cookie","Sharer"
"49",8,4,2,"1","cookie","Sharer"
"50",6,5,2,"1","cookie","Recipient"
"51",6,6,7,"1","cookie","Recipient"
"52",11,1,3,"1","cookie","Sharer"
"53",5,2,2,"1","cookie","Recipient"
"54",6,1,2,"1","cookie","Sharer"
"55",5,5,3,"1","cookie","Recipient"
"56",3,6,5,"1","cookie","Recipient"
"57",9,5,5,"1","cookie","Sharer"
"58",5,6,3,"1","cookie","Recipient"
"59",10,7,3,"1","cookie","Recipient"
"60",4,1,1,"1","cookie","Recipient"
"61",7,6,4,"1","cookie","Sharer"
"62",3,1,1,"1","cookie","Sharer"
"63",6,6,1,"1","cookie","Recipient"
"64",6,2,1,"1","cookie","Sharer"
"65",12,7,3,"1","cookie","Sharer"
"66",5,6,3,"1","cookie","Recipient"
